# in Cohort,% Dropped Out,% Graduated,% H.S. Equiv.,% Non-Grad Completers,% Permanently Excluded,% Still in School,District Code,District Name,Year
       263,0.4,96.2,0.4,0.0,0.0,3.0,260000,Belmont,2013
        25,12.0,76.0,0.0,0.0,0.0,12.0,4140000,Berkshire Arts and Technology Charter Public (District),2013
       125,1.6,92.0,0.8,0.0,0.0,5.6,6180000,Berkshire Hills,2013
        63,7.9,84.1,1.6,0.0,0.0,6.3,6200000,Berlin-Boylston,2013
       333,5.4,88.6,1.5,0.0,0.0,4.5,300000,Beverly,2013
       368,3.8,86.1,3.3,0.0,0.0,6.8,310000,Billerica,2013
       275,1.5,97.8,0.4,0.0,0.0,0.4,8050000,Blackstone Valley Regional Vocational Technical,2013
       149,5.4,90.6,0.7,1.3,0.7,1.3,6220000,Blackstone-Millville,2013
       188,1.1,97.3,0.0,0.0,0.0,1.6,8060000,Blue Hills Regional Vocational Technical,2013
"     4,486",14.7,65.9,1.6,0.8,0.1,16.9,350000,Boston,2013
        30,10.0,76.7,3.3,0.0,0.0,10.0,4490000,Boston Collegiate Charter (District),2013
       192,25.5,16.7,6.3,0.0,0.0,51.6,4240000,Boston Day and Evening Academy Charter (District),2013
        85,4.7,69.4,3.5,0.0,0.0,22.4,4110000,Boston Green Academy Horace Mann Charter School (District),2013
        39,5.1,92.3,0.0,0.0,0.0,2.6,4160000,Boston Preparatory Charter Public (District),2013
       148,3.4,91.2,2.0,0.7,0.0,2.7,360000,Bourne,2013
       396,4.0,93.4,0.5,0.5,0.0,1.5,400000,Braintree,2013
       443,5.9,88.3,0.0,1.1,0.2,4.5,6250000,Bridgewater-Raynham,2013
       105,1.9,98.1,0.0,0.0,0.0,0.0,9100000,Bristol County Agricultural,2013
       289,1.0,98.6,0.0,0.0,0.0,0.3,8100000,Bristol-Plymouth Regional Vocational Technical,2013
"     1,203",9.6,73.8,0.9,2.0,0.1,13.6,440000,Brockton,2013
       440,2.0,92.3,1.6,0.2,0.0,3.9,460000,Brookline,2013
       274,3.3,93.8,0.7,0.4,0.0,1.8,480000,Burlington,2013
       457,5.7,82.5,0.0,0.4,0.0,11.4,490000,Cambridge,2013
       246,4.1,91.5,0.0,0.0,0.4,4.1,500000,Canton,2013
       158,2.5,95.6,0.6,0.6,0.0,0.6,8150000,Cape Cod Regional Vocational Technical,2013
       149,10.7,83.9,1.3,0.0,2.7,1.3,520000,Carver,2013
       127,4.7,89.8,2.4,0.0,0.0,3.1,6350000,Central Berkshire,2013
       404,2.0,93.3,1.0,0.7,0.0,3.0,560000,Chelmsford,2013
       328,16.8,64.3,3.4,1.5,0.0,14.0,570000,Chelsea,2013
       683,12.4,72.6,4.2,1.9,0.0,8.8,610000,Chicopee,2013
        58,3.4,53.4,1.7,0.0,5.2,36.2,4370000,City On A Hill Charter Public (District),2013
       139,2.2,88.5,5.0,1.4,0.0,2.9,640000,Clinton,2013
        27,14.8,70.4,0.0,0.0,0.0,14.8,4380000,Codman Academy Charter Public (District),2013
        92,1.1,94.6,0.0,0.0,0.0,4.3,650000,Cohasset,2013
        34,0.0,88.2,0.0,0.0,0.0,11.8,4360000,Community Charter School of Cambridge (District),2013
       314,1.3,96.5,0.0,0.0,0.0,2.2,6400000,Concord-Carlisle,2013
       272,3.7,88.6,1.5,0.0,0.0,6.3,710000,Danvers,2013
       250,2.0,94.8,0.0,0.8,0.8,1.6,720000,Dartmouth,2013
       205,4.9,89.8,1.0,0.0,0.0,4.4,730000,Dedham,2013
       216,9.3,88.0,0.0,0.0,0.0,2.8,6450000,Dennis-Yarmouth,2013
       246,2.0,95.1,0.0,0.4,0.0,2.4,6500000,Dighton-Rehoboth,2013
       101,8.9,85.1,3.0,0.0,0.0,3.0,770000,Douglas,2013
       165,0.0,96.4,0.6,0.0,0.0,3.0,6550000,Dover-Sherborn,2013
       269,8.2,82.2,2.6,0.4,0.0,6.7,790000,Dracut,2013
       265,3.0,93.6,0.8,0.0,0.0,2.6,6580000,Dudley-Charlton Reg,2013
       248,1.2,97.6,0.0,0.0,0.0,1.2,820000,Duxbury,2013
       125,3.2,88.8,0.8,1.6,0.0,5.6,830000,East Bridgewater,2013
       232,0.9,95.7,0.9,0.0,0.0,2.6,870000,East Longmeadow,2013
       120,4.2,88.3,0.8,0.8,0.0,5.8,860000,Easthampton,2013
       302,3.6,93.0,0.7,0.0,0.0,2.6,880000,Easton,2013
        35,0.0,100.0,0.0,0.0,0.0,0.0,4520000,Edward M. Kennedy Academy for Health Careers (Horace Mann Charter School),2013
       114,0.9,97.4,0.9,0.0,0.0,0.9,9130000,Essex Agricultural Technical,2013
       519,9.1,79.6,2.9,1.7,0.0,6.7,930000,Everett,2013
       177,6.2,89.8,0.6,0.0,0.0,3.4,940000,Fairhaven,2013
       740,13.2,73.0,1.6,4.5,0.0,7.7,950000,Fall River,2013
       241,4.1,88.4,3.3,0.4,0.0,3.7,960000,Falmouth,2013
       450,14.0,71.6,3.1,1.8,0.0,9.6,970000,Fitchburg,2013
        34,5.9,91.2,0.0,0.0,0.0,2.9,4130000,Four Rivers Charter Public (District),2013
       214,0.9,97.2,0.0,0.0,0.0,1.9,990000,Foxborough,2013
        53,0.0,98.1,1.9,0.0,0.0,0.0,4460000,Foxborough Regional Charter (District),2013
       573,7.0,83.2,1.0,0.5,0.0,8.2,1000000,Framingham,2013
        56,0.0,92.9,0.0,0.0,0.0,7.1,4780000,Francis W. Parker Charter Essential (District),2013
       475,13.3,82.7,1.3,0.0,0.0,2.7,1010000,Franklin,2013
       114,2.6,94.7,0.9,0.0,0.0,1.8,8180000,Franklin County Regional Vocational Technical,2013
       189,3.2,95.2,0.0,0.0,0.0,1.6,6650000,Freetown-Lakeville,2013
       103,1.9,89.3,2.9,0.0,1.0,4.9,6700000,Frontier,2013
       208,10.6,71.6,1.9,1.0,0.0,14.9,1030000,Gardner,2013
        99,6.1,79.8,3.0,3.0,0.0,8.1,6720000,Gateway,2013
        99,0.0,96.0,0.0,0.0,0.0,4.0,1050000,Georgetown,2013
        86,8.1,82.6,2.3,0.0,0.0,7.0,6740000,Gill-Montague,2013
        28,3.6,92.9,0.0,0.0,0.0,3.6,4960000,Global Learning Charter Public  (District),2013
       266,6.4,83.1,2.3,1.5,0.0,6.8,1070000,Gloucester,2013
       170,1.8,92.4,2.4,0.0,0.0,3.5,1100000,Grafton,2013
        95,0.0,100.0,0.0,0.0,0.0,0.0,1110000,Granby,2013
       320,0.9,97.2,0.0,0.6,0.3,0.9,8210000,Greater Fall River Regional Vocational Technical,2013
       301,6.3,89.0,1.0,0.3,0.0,3.3,8230000,Greater Lawrence Regional Vocational Technical,2013
       496,2.8,92.3,1.2,1.0,0.2,2.4,8280000,Greater Lowell Regional Vocational Technical,2013
       503,2.6,94.4,0.0,0.6,0.8,1.6,8250000,Greater New Bedford Regional Vocational Technical,2013
        95,17.9,74.7,2.1,0.0,0.0,5.3,1140000,Greenfield,2013
       237,0.4,96.2,0.4,0.0,0.0,3.0,6730000,Groton-Dunstable,2013
        42,2.4,97.6,0.0,0.0,0.0,0.0,1170000,Hadley,2013
       173,2.3,94.8,0.6,0.0,0.0,2.3,6750000,Hamilton-Wenham,2013
        24,12.5,87.5,0.0,0.0,0.0,0.0,4990000,Hampden Charter School of Science (District),2013
       325,2.2,93.5,0.0,0.3,0.3,3.7,6800000,Hampden-Wilbraham,2013
       125,1.6,94.4,1.6,0.0,0.0,2.4,6830000,Hampshire,2013
       178,0.6,97.8,0.0,0.6,0.0,1.1,1220000,Hanover,2013
       117,0.9,97.4,0.0,0.0,0.0,1.7,1250000,Harvard,2013
        36,2.8,91.7,0.0,0.0,0.0,5.6,1270000,Hatfield,2013
       484,14.7,72.9,2.3,1.9,0.0,8.3,1280000,Haverhill,2013
       277,1.1,96.0,0.4,0.0,0.0,2.5,1310000,Hingham,2013
        73,9.6,83.6,2.7,0.0,0.0,4.1,1330000,Holbrook,2013
       220,0.5,93.2,0.5,0.0,0.0,5.9,1360000,Holliston,2013
       507,26.8,53.8,3.7,4.3,0.2,11.0,1370000,Holyoke,2013
        89,1.1,95.5,1.1,0.0,0.0,2.2,1380000,Hopedale,2013
       248,0.8,98.4,0.4,0.0,0.0,0.4,1390000,Hopkinton,2013
       220,5.9,88.6,1.4,0.0,0.0,4.1,1410000,Hudson,2013
        94,3.2,90.4,1.1,0.0,0.0,5.3,1420000,Hull,2013
        33,3.0,93.9,0.0,0.0,0.0,3.0,4350000,Innovation Academy Charter (District),2013
       163,1.8,89.6,2.5,0.6,0.0,5.5,1440000,Ipswich,2013
       324,3.1,93.2,0.6,0.0,0.0,3.1,6900000,King Philip,2013
"     1,001",16.9,61.3,2.2,4.7,0.1,14.8,1490000,Lawrence,2013
        84,9.5,79.8,4.8,0.0,0.0,6.0,1500000,Lee,2013
       133,5.3,85.0,4.5,0.0,0.0,5.3,1510000,Leicester,2013
        70,2.9,90.0,1.4,1.4,0.0,4.3,1520000,Lenox,2013
       477,3.8,89.9,0.8,1.7,0.0,3.8,1530000,Leominster,2013
       517,1.0,95.4,0.4,0.2,0.0,3.1,1550000,Lexington,2013
       402,0.5,97.5,0.0,0.0,0.0,2.0,6950000,Lincoln-Sudbury,2013
       104,3.8,90.4,3.8,1.0,0.0,1.0,1580000,Littleton,2013
       255,0.8,94.5,0.4,0.0,0.0,4.3,1590000,Longmeadow,2013
       829,10.5,75.3,1.9,1.7,0.0,10.6,1600000,Lowell,2013
        77,39.0,10.4,20.8,0.0,3.9,26.0,4580000,Lowell Middlesex Academy Charter (District),2013
       258,3.9,86.4,3.1,1.6,0.0,5.0,1610000,Ludlow,2013
       128,0.8,94.5,2.3,0.0,0.0,2.3,1620000,Lunenburg,2013
"     1,084",11.8,75.7,2.3,1.9,0.0,8.2,1630000,Lynn,2013
       164,0.0,98.8,0.0,0.0,0.0,1.2,1640000,Lynnfield,2013
        44,0.0,100.0,0.0,0.0,0.0,0.0,4680000,Ma Academy for Math and Science,2013
       485,10.1,77.7,1.0,1.0,0.0,10.1,1650000,Malden,2013
       121,3.3,88.4,0.8,0.0,0.8,6.6,6980000,Manchester Essex Regional,2013
       372,1.9,93.0,0.5,0.0,0.0,4.6,1670000,Mansfield,2013
       216,1.4,95.4,0.9,0.0,0.0,2.3,1680000,Marblehead,2013
       332,5.4,82.5,2.4,1.5,0.0,8.1,1700000,Marlborough,2013
       328,4.9,91.2,1.5,0.0,0.0,2.4,1710000,Marshfield,2013
        11,0.0,100.0,0.0,0.0,0.0,0.0,4660000,Martha's Vineyard Charter (District),2013
       192,3.1,91.7,1.0,0.0,0.0,4.2,7000000,Marthas Vineyard,2013
       311,0.3,97.4,0.3,0.0,0.0,1.9,7050000,Masconomet,2013
       132,7.6,83.3,2.3,0.0,0.8,6.1,1720000,Mashpee,2013
        31,0.0,74.2,0.0,0.0,0.0,25.8,4690000,MATCH Charter Public School (District),2013
        68,1.5,86.8,4.4,0.0,0.0,7.4,1740000,Maynard,2013
       240,0.4,98.8,0.0,0.0,0.0,0.8,1750000,Medfield,2013
       335,3.3,85.7,2.7,1.8,0.0,6.6,1760000,Medford,2013
       223,1.3,97.8,0.0,0.0,0.0,0.9,1770000,Medway,2013
       241,2.9,94.2,0.8,0.8,0.0,1.2,1780000,Melrose,2013
       189,0.5,95.2,1.1,0.0,0.0,3.2,7100000,Mendon-Upton,2013
       449,6.0,81.5,4.2,1.8,0.2,6.2,1810000,Methuen,2013
       233,4.7,90.6,0.9,0.4,0.4,3.0,1820000,Middleborough,2013
       281,6.4,86.5,1.8,0.4,0.0,5.0,1850000,Milford,2013
       116,4.3,89.7,2.6,0.0,0.0,3.4,1860000,Millbury,2013
        89,0.0,96.6,0.0,0.0,0.0,3.4,1870000,Millis,2013
       285,3.2,93.0,0.0,0.4,0.4,3.2,1890000,Milton,2013
       111,7.2,81.1,0.9,0.0,0.0,10.8,8300000,Minuteman Regional Vocational Technical,2013
        90,6.7,83.3,1.1,0.0,0.0,8.9,7170000,Mohawk Trail,2013
       147,0.7,89.8,0.7,0.0,0.0,8.8,7120000,Monomoy Regional School District,2013
        85,5.9,85.9,1.2,1.2,0.0,5.9,1910000,Monson,2013
       325,0.9,96.6,0.6,0.0,0.3,1.5,8320000,Montachusett Regional Vocational Technical,2013
        90,4.4,88.9,3.3,0.0,0.0,3.3,7150000,Mount Greylock,2013
        79,3.8,96.2,0.0,0.0,0.0,0.0,4700000,Mystic Valley Regional Charter (District),2013
        93,5.4,81.7,3.2,1.1,1.1,7.5,1970000,Nantucket,2013
       123,4.1,91.9,0.8,0.8,0.0,2.4,7200000,Narragansett,2013
       247,1.2,94.7,1.6,0.0,0.0,2.4,7250000,Nashoba,2013
       153,3.3,96.1,0.7,0.0,0.0,0.0,8520000,Nashoba Valley Regional Vocational Technical,2013
       328,2.1,93.6,0.6,0.0,0.0,3.7,1980000,Natick,2013
       207,1.9,92.3,1.4,1.0,0.0,3.4,6600000,Nauset,2013
       376,0.5,95.5,0.0,0.0,0.0,4.0,1990000,Needham,2013
       652,23.5,59.0,1.7,4.8,0.2,10.9,2010000,New Bedford,2013
        37,2.7,97.3,0.0,0.0,0.0,0.0,4710000,New Leadership Charter (District),2013
       191,4.2,94.2,0.0,0.5,0.0,1.0,2040000,Newburyport,2013
       887,0.9,95.5,0.1,0.0,0.0,3.5,2070000,Newton,2013
       119,0.0,100.0,0.0,0.0,0.0,0.0,9150000,Norfolk County Agricultural,2013
       135,14.1,77.0,4.4,0.0,0.0,4.4,2090000,North Adams,2013
       318,1.6,94.0,0.3,1.9,0.3,1.9,2110000,North Andover,2013
       317,0.9,94.6,0.6,0.0,0.0,3.8,2120000,North Attleborough,2013
        39,5.1,84.6,7.7,0.0,0.0,2.6,2150000,North Brookfield,2013
        51,3.9,86.3,5.9,0.0,0.0,3.9,4740000,North Central Charter Essential (District),2013
       278,2.9,92.8,0.7,0.4,0.0,3.2,7350000,North Middlesex,2013
       177,4.5,91.0,1.1,0.0,1.1,2.3,2170000,North Reading,2013
       118,0.8,97.5,0.8,0.0,0.0,0.8,8540000,North Shore Regional Vocational Technical,2013
       240,2.9,91.7,1.7,0.4,0.4,2.9,2100000,Northampton,2013
       102,3.9,93.1,2.0,0.0,0.0,1.0,4060000,Northampton-Smith Vocational Agricultural,2013
       364,0.3,97.3,0.0,0.3,0.0,2.2,7300000,Northboro-Southboro,2013
       179,5.6,83.8,5.0,0.6,0.0,5.0,2140000,Northbridge,2013
       284,1.8,96.5,0.7,0.0,0.0,1.1,8530000,Northeast Metropolitan Regional Vocational Technical,2013
       101,2.0,93.1,1.0,0.0,0.0,4.0,8510000,Northern Berkshire Regional Vocational Technical,2013
       194,7.7,82.5,2.6,0.5,0.0,6.7,2180000,Norton,2013
       184,0.5,98.4,0.0,0.0,0.0,1.1,2190000,Norwell,2013
       297,3.7,92.3,0.0,1.0,0.0,3.0,2200000,Norwood,2013
       130,0.8,99.2,0.0,0.0,0.0,0.0,8550000,Old Colony Regional Vocational Technical,2013
       171,3.5,93.0,0.0,1.2,0.0,2.3,7400000,Old Rochester,2013
       144,10.4,78.5,2.1,1.4,0.0,7.6,2260000,Oxford,2013
       121,5.8,71.9,5.8,0.8,0.0,15.7,2270000,Palmer,2013
       168,5.4,86.3,1.2,3.0,0.0,4.2,8600000,Pathfinder Regional Vocational Technical,2013
       476,8.0,81.3,1.9,0.8,0.0,8.0,2290000,Peabody,2013
       214,3.7,93.9,0.5,0.0,0.0,1.9,2310000,Pembroke,2013
       199,2.5,91.0,2.5,0.0,0.5,3.5,7450000,Pentucket,2013
        82,53.7,18.3,7.3,0.0,0.0,20.7,4930000,Phoenix Charter Academy (District),2013
        47,2.1,95.7,0.0,0.0,0.0,2.1,4940000,Pioneer Charter School of Science (District),2013
        88,8.0,88.6,2.3,0.0,0.0,1.1,7500000,Pioneer Valley,2013
        60,1.7,86.7,3.3,0.0,0.0,8.3,4790000,Pioneer Valley Performing Arts Charter Public (District),2013
       460,8.7,78.5,5.4,1.1,0.0,6.3,2360000,Pittsfield,2013
       652,3.2,90.0,2.0,0.5,0.3,4.0,2390000,Plymouth,2013
        52,5.8,86.5,1.9,0.0,0.0,5.8,4870000,Prospect Hill Academy Charter (District),2013
        10,10.0,90.0,0.0,0.0,0.0,0.0,2420000,Provincetown,2013
       212,3.3,88.7,2.4,0.0,0.0,5.7,7530000,Quabbin,2013
       104,9.6,78.8,2.9,0.0,1.0,7.7,7780000,Quaboag Regional,2013
       776,5.2,88.3,1.0,0.5,0.0,5.0,2430000,Quincy,2013
       174,13.2,72.4,5.2,0.0,0.6,8.6,7550000,Ralph C Mahar,2013
       181,9.4,79.6,0.6,0.0,0.6,9.9,2440000,Randolph,2013
       328,1.2,96.0,0.0,0.0,0.3,2.4,2460000,Reading,2013
       476,11.6,76.7,2.1,0.8,0.2,8.6,2480000,Revere,2013
       131,6.1,84.7,0.0,0.8,0.0,8.4,2510000,Rockland,2013
        78,5.1,88.5,2.6,0.0,0.0,3.8,2520000,Rockport,2013
        99,3.0,92.9,0.0,0.0,0.0,4.0,4410000,Sabis International Charter (District),2013
       319,6.3,85.9,0.9,1.6,0.0,5.3,2580000,Salem,2013
        24,8.3,87.5,0.0,0.0,0.0,4.2,4850000,Salem Academy Charter (District),2013
        13,23.1,15.4,7.7,0.0,0.0,53.8,4670000,Salem Community Charter School (District),2013
       289,4.8,90.3,1.4,0.7,0.0,2.8,2610000,Sandwich,2013
       186,7.5,84.4,3.8,0.0,0.0,4.3,2620000,Saugus,2013
       217,3.2,92.6,1.4,0.0,0.0,2.8,2640000,Scituate,2013
       152,3.3,94.7,0.0,0.0,0.0,2.0,2650000,Seekonk,2013
       316,0.3,96.8,0.6,0.0,0.0,2.2,2660000,Sharon,2013
       325,0.9,98.2,0.3,0.0,0.0,0.6,8710000,Shawsheen Valley Regional Vocational Technical,2013
       432,2.3,92.8,2.8,0.0,0.0,2.1,2710000,Shrewsbury,2013
       303,1.0,97.4,0.0,0.0,0.0,1.7,7600000,Silver Lake,2013
       247,2.8,95.5,0.0,0.0,0.0,1.6,7630000,Somerset Berkley Regional School District,2013
       362,12.2,77.6,0.8,1.9,0.0,7.5,2740000,Somerville,2013
       152,6.6,88.8,2.6,0.0,0.0,2.0,2780000,South Hadley,2013
       167,1.8,92.2,1.8,0.0,0.0,4.2,8290000,South Middlesex Regional Vocational Technical,2013
        33,0.0,93.9,0.0,0.0,0.0,6.1,4880000,South Shore Charter Public (District),2013
       139,3.6,93.5,0.7,0.0,0.0,2.2,8730000,South Shore Regional Vocational Technical,2013
       119,16.8,70.6,5.9,1.7,0.8,4.2,2770000,Southbridge,2013
       288,3.8,93.1,0.3,0.3,0.3,2.1,8720000,Southeastern Regional Vocational Technical,2013
        49,10.2,87.8,2.0,0.0,0.0,0.0,7650000,Southern Berkshire,2013
       253,2.8,90.5,1.2,0.0,0.0,5.5,8760000,Southern Worcester County Regional Vocational Technical,2013
       139,6.5,87.8,2.2,0.0,0.0,3.6,7660000,Southwick-Tolland-Granville Regional School District,2013
       108,1.9,87.0,5.6,0.0,0.0,5.6,7670000,Spencer-E Brookfield,2013
"     1,952",25.1,54.9,3.0,4.8,0.1,12.1,2810000,Springfield,2013
       196,3.1,89.3,2.6,0.0,0.0,5.1,2840000,Stoneham,2013
       270,3.0,89.6,1.1,1.1,0.4,4.8,2850000,Stoughton,2013
       104,0.0,92.3,0.0,0.0,0.0,7.7,4890000,Sturgis Charter Public (District),2013
       102,1.0,93.1,2.0,0.0,0.0,3.9,2900000,Sutton,2013
       212,3.3,93.9,0.5,0.0,0.0,2.4,2910000,Swampscott,2013
       143,6.3,88.8,0.7,0.0,1.4,2.8,2920000,Swansea,2013
       291,1.7,93.1,1.4,0.3,0.0,3.4,7700000,Tantasqua,2013
       483,10.6,81.0,2.1,1.7,0.0,4.8,2930000,Taunton,2013
       213,3.3,87.8,2.3,0.5,0.0,6.1,2950000,Tewksbury,2013
       239,2.5,92.5,0.8,0.0,0.0,4.2,8780000,Tri County Regional Vocational Technical,2013
       178,3.9,88.8,0.6,0.6,0.0,6.2,7730000,Triton,2013
       129,2.3,94.6,1.6,0.0,0.0,1.6,3010000,Tyngsborough,2013
       157,0.6,97.5,0.6,0.0,1.3,0.0,8790000,Upper Cape Cod Regional Vocational Technical,2013
       123,4.9,87.8,3.3,0.0,0.0,4.1,3040000,Uxbridge,2013
       526,2.5,91.6,2.3,0.0,0.0,3.6,7750000,Wachusett,2013
       258,2.3,93.4,2.3,0.0,0.0,1.9,3050000,Wakefield,2013
       268,0.4,97.4,0.0,0.0,0.0,2.2,3070000,Walpole,2013
       394,11.4,81.0,1.3,2.0,0.0,4.3,3080000,Waltham,2013
        69,5.8,76.8,2.9,0.0,0.0,14.5,3090000,Ware,2013
       232,8.6,75.0,1.7,0.9,0.0,13.8,3100000,Wareham,2013
       201,5.5,84.6,0.5,0.5,0.0,9.0,3140000,Watertown,2013
       227,0.0,97.8,0.0,0.0,0.0,2.2,3150000,Wayland,2013
       142,14.8,69.7,7.0,0.0,0.7,7.7,3160000,Webster,2013
       306,0.3,97.1,0.0,0.0,0.0,2.6,3170000,Wellesley,2013
        64,3.1,89.1,3.1,0.0,0.0,4.7,3220000,West Boylston,2013
        84,0.0,98.8,0.0,0.0,0.0,1.2,3230000,West Bridgewater,2013
       331,9.4,81.6,2.1,1.8,0.0,5.1,3320000,West Springfield,2013
       265,0.8,96.2,0.4,0.8,0.0,1.9,3210000,Westborough,2013
       504,6.5,82.9,2.6,2.0,0.0,6.0,3250000,Westfield,2013
       428,0.9,98.1,0.0,0.0,0.0,0.9,3260000,Westford,2013
       180,0.6,95.0,0.0,0.6,0.0,3.9,3300000,Weston,2013
       119,2.5,94.1,0.8,0.8,0.0,1.7,3310000,Westport,2013
       224,0.9,96.4,0.0,0.0,0.0,2.7,3350000,Westwood,2013
       560,6.8,85.0,1.6,0.0,0.4,6.3,3360000,Weymouth,2013
       294,1.7,94.2,1.0,0.3,0.0,2.7,7800000,Whitman-Hanson,2013
       278,1.4,97.5,0.0,0.0,0.4,0.7,8850000,Whittier Regional Vocational Technical,2013
       251,2.8,91.2,0.8,1.6,0.0,3.6,3420000,Wilmington,2013
        97,7.2,84.5,1.0,1.0,0.0,6.2,3430000,Winchendon,2013
       284,0.4,96.1,0.0,0.4,0.0,3.2,3440000,Winchester,2013
       134,4.5,87.3,3.0,0.0,0.0,5.2,3460000,Winthrop,2013
       353,5.7,86.1,1.4,2.0,0.0,4.8,3470000,Woburn,2013
"     1,885",11.0,73.4,2.8,1.3,0.2,11.3,3480000,Worcester,2013
"    74,537",6.5,85.0,1.5,0.8,0.1,6.1,0,State Totals,2013
        87,0.0,97.7,0.0,0.0,1.1,1.1,4450000,Abby Kelley Foster Charter Public (District),2014
       114,7.9,83.3,2.6,0.0,0.0,6.1,10000,Abington,2014
        34,2.9,85.3,0.0,0.0,0.0,11.8,4120000,Academy Of the Pacific Rim Charter Public (District),2014
       524,0.6,96.8,0.0,0.0,0.0,2.7,6000000,Acton-Boxborough,2014
        99,8.1,81.8,1.0,0.0,0.0,9.1,6030000,Adams-Cheshire,2014
       101,0.0,99.0,0.0,0.0,0.0,1.0,4300000,Advanced Math and Science Academy Charter (District),2014
       320,5.6,89.7,0.9,0.9,0.0,2.8,50000,Agawam,2014
       161,4.3,89.4,1.9,0.0,0.0,4.3,70000,Amesbury,2014
         6,16.7,50.0,0.0,0.0,0.0,33.3,4150000,Amesbury Academy Charter Public (District),2014
       256,3.1,89.1,3.1,0.0,0.0,4.7,6050000,Amherst-Pelham,2014
       450,0.7,94.9,0.7,0.4,0.0,3.3,90000,Andover,2014
       307,3.3,92.2,0.7,1.3,0.0,2.6,100000,Arlington,2014
       149,0.7,94.6,1.3,0.0,0.0,3.4,6100000,Ashburnham-Westminster,2014
       194,2.6,95.4,0.0,0.0,0.0,2.1,140000,Ashland,2014
       235,4.3,93.6,0.4,0.0,0.0,1.7,8010000,Assabet Valley Regional Vocational Technical,2014
        95,11.6,68.4,2.1,2.1,0.0,15.8,6150000,Athol-Royalston,2014
       426,5.4,86.6,0.9,0.2,0.0,6.8,160000,Attleboro,2014
       180,5.0,90.0,1.7,0.0,0.0,3.3,170000,Auburn,2014
        56,7.1,83.9,0.0,0.0,0.0,8.9,180000,Avon,2014
        75,4.0,85.3,1.3,1.3,0.0,8.0,6160000,Ayer Shirley School District,2014
       408,7.4,84.8,1.2,0.2,0.0,6.4,200000,Barnstable,2014
       205,1.0,94.6,0.5,0.0,0.0,3.9,230000,Bedford,2014
       203,2.0,95.1,1.5,1.0,0.0,0.5,240000,Belchertown,2014
       164,5.5,87.8,0.6,1.8,0.0,4.3,250000,Bellingham,2014
       276,0.7,95.3,0.4,0.0,0.0,3.6,260000,Belmont,2014
        24,16.7,45.8,20.8,0.0,0.0,16.7,4140000,Berkshire Arts and Technology Charter Public (District),2014
       134,1.5,95.5,0.7,0.0,0.0,2.2,6180000,Berkshire Hills,2014
        71,2.8,91.5,1.4,0.0,1.4,2.8,6200000,Berlin-Boylston,2014
       333,4.8,90.7,0.0,0.3,0.0,4.2,300000,Beverly,2014
       378,4.2,89.9,0.8,0.0,0.0,5.0,310000,Billerica,2014
       283,1.1,98.2,0.4,0.0,0.0,0.4,8050000,Blackstone Valley Regional Vocational Technical,2014
       141,6.4,87.9,2.8,0.0,0.0,2.8,6220000,Blackstone-Millville,2014
       192,0.5,97.4,0.0,0.0,0.0,2.1,8060000,Blue Hills Regional Vocational Technical,2014
"     4,335",12.6,66.7,1.2,0.9,0.1,18.5,350000,Boston,2014
