grad_(%) in Cohort,grad_# Dropped Out,grad_# Graduated,grad_# H.S. Equiv.,grad_# Non-Grad Completers,grad_# Permanently Excluded,grad_# Still in School,District Code,Year,sal_Average Salary,sal_FTE Count,sal_Salary Totals,mcas_MCAS_Avg. Scaled Score_ELA,mcas_MCAS_Avg. Scaled Score_MATH,mcas_MCAS_Avg. Scaled Score_SCI,mcas_MCAS_SGP_ELA,mcas_MCAS_SGP_MATH,expend_In-District Expenditures,expend_In-District Expenditures per Pupil,expend_Total Expenditures,expend_Total Expenditures per Pupil,expend_Total In-district FTEs,expend_Total Pupil FTEs,age_26-32 yrs ((%)),age_33-40 yrs ((%)),age_41-48 yrs ((%)),age_49-56 yrs ((%)),age_57-64 yrs ((%)),age_<26 yrs ((%) ),age_Over 64 yrs ((%)),prog_Career Technical Education ((%)),prog_English Learners ((%)),prog_General Education ((%)),prog_Special Education ((%)),demo_American Indian or Alaska Native,demo_Asian,demo_Black or African American,demo_Female,demo_Hispanic or Latino,demo_Male,"demo_Multi-Race, Not Hispanic or Latino",demo_Native Hawaiian or Other Pacific Islander,demo_Nonbinary,demo_White,sat_Math,sat_Reading,sat_Reading / Writing,sat_Tests Taken,District Name,sat_Reading_Merged
       263,0.4,96.2,0.4,0.0,0.0,3.0,00260000,2013,"  $79,244",    242.3,"     $19,200,783",,,,,,"          $46,463,434.57","              $11,479.26","          $52,172,156.85","              $12,659.15","           4,047.6","           4,121.3",33.5,27.6,15.1,12.2,7.2,3.6,0.8,0.0,2.2,88.6,9.2,0.0,14.7,3.9,50.6,3.7,49.4,5.1,0.1,,72.3,602.0,586.0,,     251,Belmont,586.0
        25,12.0,76.0,0.0,0.0,0.0,12.0,04140000,2013,,,,,,,,,,,,,,,20.6,26.6,12.4,16.5,5.4,18.6,0.0,0.0,0.0,88.0,12.0,0.7,1.6,7.9,53.4,4.3,46.6,3.3,0.0,,82.3,480.0,503.0,,      23,Berkshire Arts and Technology Charter Public (District),503.0
       125,1.6,92.0,0.8,0.0,0.0,5.6,06180000,2013,"  $69,236",    113.9,"      $7,885,962",,,,,,"          $22,329,280.49","              $16,370.44","          $23,752,484.65","              $16,105.56","           1,364.0","           1,474.8",15.4,19.0,28.6,20.6,16.3,0.0,0.0,4.0,0.8,82.9,12.2,0.0,1.2,1.6,47.5,5.8,52.5,3.1,0.1,,88.1,525.0,541.0,,      87,Berkshire Hills,541.0
        63,7.9,84.1,1.6,0.0,0.0,6.3,06200000,2013,"  $66,487",     34.8,"      $2,313,757",,,,,,"           $5,774,725.93","              $13,562.06","           $7,736,295.05","              $15,039.45",             425.8,             514.4,18.9,19.0,21.5,23.2,13.9,3.5,0.0,0.0,0.6,96.0,3.4,0.0,1.2,0.7,52.6,0.9,47.4,2.8,0.0,,94.4,538.0,543.0,,      50,Berlin-Boylston,543.0
       333,5.4,88.6,1.5,0.0,0.0,4.5,00300000,2013,"  $59,716",    296.2,"     $17,687,744",,,,,,"          $49,874,971.27","              $11,536.59","          $57,702,932.27","              $12,631.16","           4,323.2","           4,568.3",17.2,23.2,16.8,19.4,18.7,3.5,1.1,0.0,1.0,84.4,14.6,0.0,2.2,2.6,49.1,8.4,50.9,2.4,0.1,,84.2,520.0,505.0,,     208,Beverly,505.0
       368,3.8,86.1,3.3,0.0,0.0,6.8,00310000,2013,"  $67,940",    391.4,"     $26,591,667",,,,,,"          $70,212,998.00","              $12,817.27","          $78,862,269.00","              $13,608.67","           5,478.0","           5,795.0",24.7,23.0,19.9,18.5,8.4,4.3,1.2,0.0,0.5,87.8,11.6,0.1,4.5,2.4,48.9,3.3,51.1,1.9,0.2,,87.6,537.0,500.0,,     257,Billerica,500.0
       275,1.5,97.8,0.4,0.0,0.0,0.4,08050000,2013,"  $71,974",     95.0,"      $6,837,496",,,,,,"          $20,521,514.10","              $17,712.34","          $20,521,514.10","              $17,712.34","           1,158.6","           1,158.6",9.7,19.1,23.8,25.5,13.8,5.8,2.3,49.5,0.9,47.6,2.0,0.0,0.8,0.9,48.6,2.3,51.4,2.2,0.1,,93.8,489.0,483.0,,     196,Blackstone Valley Regional Vocational Technical,483.0
       149,5.4,90.6,0.7,1.3,0.7,1.3,06220000,2013,"  $63,467",    134.9,"      $8,561,674",,,,,,"          $20,548,506.17","              $10,973.84","          $22,932,510.17","              $11,640.28","           1,872.5","           1,970.1",13.9,16.6,23.7,23.9,19.9,2.1,0.0,0.0,0.4,88.5,11.1,0.2,1.0,1.1,50.4,3.6,49.6,2.6,0.0,,91.6,512.0,503.0,,      93,Blackstone-Millville,503.0
       188,1.1,97.3,0.0,0.0,0.0,1.6,08060000,2013,"  $78,604",     82.9,"      $6,516,293",,,,,,"          $17,465,032.00","              $21,612.46","          $17,470,032.00","              $21,591.93",             808.1,             809.1,34.2,16.1,11.0,14.3,18.6,5.8,0.0,49.7,0.2,42.3,7.8,0.6,1.2,21.6,43.0,6.6,57.0,3.3,0.2,,66.4,455.0,441.0,,     104,Blue Hills Regional Vocational Technical,441.0
"     4,486",14.7,65.9,1.6,0.8,0.1,16.9,00350000,2013,"  $76,906","  4,591.6","    $353,122,118",,,,,,"       $1,044,069,138.19","              $18,446.74","       $1,178,270,619.38","              $18,466.00","          56,599.1","          63,807.6",23.0,24.8,16.5,17.1,12.1,5.0,1.5,0.1,2.2,63.9,33.9,0.3,8.6,35.6,48.1,39.9,51.9,2.2,0.2,,13.2,468.0,434.0,,"   2,484",Boston,434.0
        30,10.0,76.7,3.3,0.0,0.0,10.0,04490000,2013,,,,,,,,,,,,,,,43.8,20.1,4.4,1.8,1.8,28.1,0.0,0.0,0.0,83.9,16.1,0.2,1.1,25.3,52.9,16.4,47.1,2.3,0.0,,54.7,536.0,477.0,,      35,Boston Collegiate Charter (District),477.0
       192,25.5,16.7,6.3,0.0,0.0,51.6,04240000,2013,,,,,,,,,,,,,,,35.7,37.3,12.4,2.1,4.1,8.3,0.0,3.6,0.0,96.4,0.0,0.3,1.7,50.7,56.3,34.5,43.7,2.8,0.8,,9.2,419.0,447.0,,      27,Boston Day and Evening Academy Charter (District),447.0
        85,4.7,69.4,3.5,0.0,0.0,22.4,04110000,2013,,,,,,,,,,,,,,,46.8,32.1,9.2,4.9,0.0,7.0,0.0,1.3,0.5,83.8,14.4,0.0,3.9,57.5,43.5,25.3,56.5,0.0,0.0,,13.3,406.0,376.0,,      36,Boston Green Academy Horace Mann Charter School (District),376.0
        39,5.1,92.3,0.0,0.0,0.0,2.6,04160000,2013,,,,,,,,,,,,,,,38.1,12.5,0.0,0.0,0.0,49.3,0.0,0.0,3.0,84.8,12.2,1.1,0.0,65.5,53.2,26.0,46.8,2.7,0.3,,4.4,487.0,413.0,,      40,Boston Preparatory Charter Public (District),413.0
       148,3.4,91.2,2.0,0.7,0.0,2.7,00360000,2013,"  $78,189",    143.2,"     $11,196,722",,,,,,"          $29,075,345.43","              $13,910.98","          $32,217,768.43","              $14,310.74","           2,090.1","           2,251.3",14.8,21.3,22.2,21.2,17.7,0.8,2.1,0.0,0.0,90.2,9.8,0.3,1.3,1.1,48.9,3.3,51.1,5.2,0.0,,88.7,489.0,496.0,,     110,Bourne,496.0
       396,4.0,93.4,0.5,0.5,0.0,1.5,00400000,2013,"  $70,171",    393.1,"     $27,584,376",,,,,,"          $66,065,422.18","              $11,766.30","          $72,455,726.93","              $12,659.56","           5,614.8","           5,723.4",32.4,17.1,18.6,11.3,11.7,6.9,2.0,0.0,1.8,77.6,20.6,0.1,10.4,5.0,48.6,3.8,51.4,1.1,0.0,,79.6,534.0,507.0,,     321,Braintree,507.0
       443,5.9,88.3,0.0,1.1,0.2,4.5,06250000,2013,"  $76,013",    325.2,"     $24,719,425",,,,,,"          $60,628,507.00","              $11,137.98","          $67,443,114.00","              $11,885.72","           5,443.4","           5,674.3",20.0,15.8,20.3,20.1,10.8,12.3,0.7,0.0,0.6,90.6,8.9,0.1,1.1,3.1,47.7,2.4,52.3,3.4,0.0,,89.9,524.0,505.0,,     304,Bridgewater-Raynham,505.0
       105,1.9,98.1,0.0,0.0,0.0,0.0,09100000,2013,"  $65,006",     33.4,"      $2,171,199",,,,,,"           $8,620,469.81","              $19,255.01","           $8,620,469.81","              $19,255.01",             447.7,             447.7,24.9,18.2,19.3,9.6,21.5,6.4,0.0,44.2,0.0,49.8,6.0,0.0,0.9,1.6,71.2,3.3,28.8,1.3,0.0,,92.9,493.0,490.0,,      72,Bristol County Agricultural,490.0
       105,1.9,98.1,0.0,0.0,0.0,0.0,09100000,2013,"  $62,312",     48.7,"      $3,034,610",,,,,,"           $8,620,469.81","              $19,255.01","           $8,620,469.81","              $19,255.01",             447.7,             447.7,24.9,18.2,19.3,9.6,21.5,6.4,0.0,44.2,0.0,49.8,6.0,0.0,0.9,1.6,71.2,3.3,28.8,1.3,0.0,,92.9,493.0,490.0,,      72,Bristol County Agricultural,490.0
       289,1.0,98.6,0.0,0.0,0.0,0.3,08100000,2013,"  $77,641",     99.5,"      $7,725,237",,,,,,"          $21,581,091.69","              $16,962.27","          $21,609,338.69","              $16,931.24","           1,272.3","           1,276.3",23.5,26.1,25.6,9.6,13.7,0.0,1.6,42.7,0.3,48.5,8.4,0.4,0.3,4.2,44.5,5.0,55.5,2.7,0.1,,87.4,461.0,461.0,,     162,Bristol-Plymouth Regional Vocational Technical,461.0
"     1,203",9.6,73.8,0.9,2.0,0.1,13.6,00440000,2013,"  $82,841","  1,064.5","     $88,183,815",,,,,,"         $203,751,690.19","              $12,365.82","         $222,117,401.10","              $12,990.84","          16,477.0","          17,098.0",19.4,22.2,20.4,19.5,12.2,5.2,1.2,0.1,3.9,81.9,14.1,0.4,2.5,54.0,48.6,14.4,51.4,3.8,0.2,,24.7,440.0,424.0,,     590,Brockton,424.0
       440,2.0,92.3,1.6,0.2,0.0,3.9,00460000,2013,"  $82,488",    557.2,"     $45,962,475",,,,,,"         $115,095,344.52","              $16,272.72","         $121,070,102.52","              $16,924.12","           7,072.9","           7,153.7",31.6,24.8,18.1,12.1,8.8,3.0,1.6,1.4,3.7,94.9,0.0,0.0,18.1,6.4,49.8,9.9,50.2,8.2,0.0,,57.4,609.0,591.0,,     379,Brookline,591.0
       274,3.3,93.8,0.7,0.4,0.0,1.8,00480000,2013,"  $85,901",    299.7,"     $25,744,653",,,,,,"          $54,353,978.07","              $15,192.44","          $61,154,177.07","              $16,642.86","           3,577.7","           3,674.5",29.3,21.1,15.1,15.7,12.5,4.4,1.8,0.0,1.3,86.5,12.2,0.6,13.3,6.2,48.1,3.7,51.9,3.1,0.1,,73.1,534.0,520.0,,     239,Burlington,520.0
       457,5.7,82.5,0.0,0.4,0.0,11.4,00490000,2013,"  $80,725",    564.3,"     $45,552,942",,,,,,"         $160,577,528.41","              $25,953.18","         $185,893,277.67","              $27,473.81","           6,187.2","           6,766.2",27.4,26.4,17.1,13.2,9.8,4.7,1.4,4.0,2.6,74.6,18.8,0.5,11.8,29.7,49.5,13.7,50.5,5.4,0.2,,38.5,502.0,498.0,,     330,Cambridge,498.0
       246,4.1,91.5,0.0,0.0,0.4,4.1,00500000,2013,"  $74,259",    229.6,"     $17,049,969",,,,,,"          $40,795,399.00","              $12,740.20","          $45,015,349.00","              $13,738.85","           3,202.1","           3,276.5",17.4,24.2,23.2,13.4,16.2,3.5,2.1,0.6,0.6,84.5,14.3,0.1,8.1,9.1,49.7,3.6,50.3,3.6,0.0,,75.4,541.0,515.0,,     211,Canton,515.0
       158,2.5,95.6,0.6,0.6,0.0,0.6,08150000,2013,"  $75,368",     66.6,"      $5,019,518",,,,,,"          $14,837,953.48","              $22,876.89","          $14,837,953.48","              $22,876.89",             648.6,             648.6,8.2,9.0,21.1,32.5,19.5,4.5,5.2,49.4,0.3,43.8,6.5,1.2,0.8,4.9,40.1,8.7,59.9,4.4,0.0,,80.0,460.0,455.0,,      47,Cape Cod Regional Vocational Technical,455.0
       149,10.7,83.9,1.3,0.0,2.7,1.3,00520000,2013,"  $67,595",    126.8,"      $8,570,985",,,,,,"          $21,790,571.25","              $12,122.04","          $23,746,560.00","              $12,903.64","           1,797.6","           1,840.3",9.9,17.7,21.3,24.6,18.6,6.2,1.8,0.0,0.0,94.4,5.6,0.1,0.0,2.0,49.2,0.5,50.8,0.4,0.3,,96.7,509.0,481.0,,      89,Carver,481.0
       127,4.7,89.8,2.4,0.0,0.0,3.1,06350000,2013,"  $65,142",    142.0,"      $9,250,182",,,,,,"          $25,822,024.00","              $14,620.93","          $27,166,242.00","              $14,143.19","           1,766.1","           1,920.8",24.7,16.8,21.6,17.9,12.1,3.3,3.7,1.3,0.0,89.9,8.8,0.1,1.0,0.7,49.0,2.4,51.0,2.7,0.0,,93.2,526.0,529.0,,      86,Central Berkshire,529.0
       404,2.0,93.3,1.0,0.7,0.0,3.0,00560000,2013,"  $69,345",    344.4,"     $23,882,403",,,,,,"          $56,751,689.62","              $11,155.56","          $64,950,348.48","              $12,157.52","           5,087.3","           5,342.4",17.5,22.2,22.1,18.8,14.4,3.1,1.9,0.7,0.0,86.9,12.4,0.2,11.1,3.4,49.0,3.0,51.0,1.5,0.1,,80.8,562.0,539.0,,     338,Chelmsford,539.0
       328,16.8,64.3,3.4,1.5,0.0,14.0,00570000,2013,"  $66,727",    411.6,"     $27,464,646",,,,,,"          $73,922,104.17","              $12,604.80","          $85,845,124.50","              $13,459.99","           5,864.6","           6,377.8",26.1,18.4,12.1,15.0,12.4,13.9,2.1,0.0,8.2,79.6,12.2,0.2,2.0,7.7,48.5,81.3,51.5,0.8,0.0,,7.9,454.0,423.0,,     129,Chelsea,423.0
       683,12.4,72.6,4.2,1.9,0.0,8.8,00610000,2013,"  $63,073",    615.2,"     $38,802,720",,,,,,"          $98,619,442.38","              $13,036.11","         $103,576,736.38","              $13,192.98","           7,565.1","           7,850.9",26.8,21.9,17.6,14.7,11.3,6.5,1.1,4.4,2.6,77.2,15.9,0.2,1.7,3.1,47.7,29.9,52.3,2.6,0.2,,62.3,495.0,483.0,,     251,Chicopee,483.0
        58,3.4,53.4,1.7,0.0,5.2,36.2,04370000,2013,,,,,,,,,,,,,,,55.8,13.6,0.0,0.0,0.0,30.6,0.0,0.0,3.2,80.7,16.1,0.0,1.7,67.8,54.5,28.8,45.5,0.7,0.0,,1.0,447.0,404.0,,      47,City On A Hill Charter Public (District),404.0
       139,2.2,88.5,5.0,1.4,0.0,2.9,00640000,2013,"  $68,346",    124.8,"      $8,529,584",,,,,,"          $20,639,189.21","              $10,841.62","          $26,158,758.74","              $11,765.21","           1,903.7","           2,223.4",11.2,17.2,16.1,21.9,27.7,2.7,3.2,0.0,5.0,85.1,9.9,0.1,1.8,4.6,46.5,20.2,53.5,0.8,0.0,,72.4,501.0,494.0,,      96,Clinton,494.0
        27,14.8,70.4,0.0,0.0,0.0,14.8,04380000,2013,,,,,,,,,,,,,,,72.7,7.7,0.0,0.0,0.0,19.6,0.0,0.0,6.7,93.3,0.0,0.7,1.4,82.3,54.4,12.9,45.6,0.0,0.0,,2.7,439.0,392.0,,      23,Codman Academy Charter Public (District),392.0
        92,1.1,94.6,0.0,0.0,0.0,4.3,00650000,2013,"  $74,714",    110.5,"      $8,255,931",,,,,,"          $19,980,769.90","              $12,607.75","          $21,798,667.77","              $13,478.43","           1,584.8","           1,617.3",16.6,14.8,30.8,21.0,13.4,2.0,1.6,0.0,0.0,88.1,11.9,0.1,1.5,3.3,48.5,0.6,51.5,0.3,0.0,,94.3,567.0,547.0,,      83,Cohasset,547.0
        34,0.0,88.2,0.0,0.0,0.0,11.8,04360000,2013,,,,,,,,,,,,,,,47.1,13.3,0.2,0.5,4.8,34.2,0.0,0.0,2.9,97.1,0.0,1.1,2.6,64.8,52.1,25.1,47.9,2.9,0.3,,3.2,501.0,455.0,,      31,Community Charter School of Cambridge (District),455.0
       314,1.3,96.5,0.0,0.0,0.0,2.2,06400000,2013,"  $95,947",     90.6,"      $8,692,801",,,,,,"          $22,030,506.56","              $18,103.79","          $26,261,922.78","              $20,750.57","           1,216.9","           1,265.6",13.3,26.2,32.3,20.1,7.1,0.0,0.9,0.0,0.0,97.6,2.4,0.2,8.3,5.6,52.6,3.7,47.4,1.8,0.0,,80.4,617.0,598.0,,     281,Concord-Carlisle,598.0
       272,3.7,88.6,1.5,0.0,0.0,6.3,00710000,2013,"  $72,716",    265.3,"     $19,291,469",,,,,,"          $44,060,603.83","              $12,259.83","          $49,223,310.83","              $13,231.72","           3,593.9","           3,720.1",21.3,27.5,16.5,17.4,9.7,6.0,1.7,0.0,0.0,92.3,7.7,0.2,2.4,1.4,49.3,5.3,50.7,1.9,0.1,,88.7,518.0,513.0,,     220,Danvers,513.0
